name,category,brend,type,power,test_down,test_up,length,sensi,rig,stroy,bonus_opit,bonus_snast,bonus_nav,bonus_zabros,stren,lvl,price_ser,price_gold,system_id,photo,source_url
Mechta SF78MH,Спиннинговые,Mechta,Спиннинг,MH,7,30,"2,4",5,7,Быстрый,,,,,20,14,940,,spin_10121_SF78MH,/uploads/rods/spin_10121_SF78MH.png,https://potryasovgame.ru/page110667676.html
Mechta SXF78XH,Спиннинговые,Mechta,Спиннинг,XH,25,90,"2,4",5,9,Сверх,,,,,23,14,940,,spin_10121_SXF78XH,/uploads/rods/spin_10121_SXF78XH.png,https://potryasovgame.ru/page110667676.html
Mechta SXF70MH,Спиннинговые,Mechta,Спиннинг,MH,10,35,"2,1",5,7,Сверх,,,,,19,14,930,,spin_10121_SXF70MH,/uploads/rods/spin_10121_SXF70MH.png,https://potryasovgame.ru/page110667676.html
Mechta SM70L,Спиннинговые,Mechta,Спиннинг,L,2,10,"2,1",4,4,Средний,50%,,,,13,14,930,,spin_10121_SM70L,/uploads/rods/spin_10121_SM70L.png,https://potryasovgame.ru/page110667676.html
Mechta SM70UL,Спиннинговые,Mechta,Спиннинг,UL,1,7,"2,1",4,4,Средний,100%,,,,"5,1",14,930,,spin_10121_SM70UL,/uploads/rods/spin_10121_SM70UL.png,https://potryasovgame.ru/page110667676.html
Mechta SF68ML,Спиннинговые,Mechta,Спиннинг,ML,4,17,2,5,6,Быстрый,25%,,,,17,14,920,,spin_10121_SF68ML,/uploads/rods/spin_10121_SF68ML.png,https://potryasovgame.ru/page110667676.html
Mechta SF60MH,Спиннинговые,Mechta,Спиннинг,MH,7,30,"1,8",5,7,Быстрый,,,,,20,14,920,,spin_10121_SF60MH,/uploads/rods/spin_10121_SF60MH.png,https://potryasovgame.ru/page110667676.html
Inspiration S78L,Спиннинговые,Inspiration,Спиннинг,L,3,12,"2,4",5,5,Быстрый,50%,,,,"12,1",14,814,,spin_10041_S78L,/uploads/rods/spin_10041_S78L.png,https://potryasovgame.ru/page110667676.html
Inspiration S78ML,Спиннинговые,Inspiration,Спиннинг,ML,4,20,"2,4",5,6,Средний,25%,,,,14,14,814,,spin_10041_S78ML,/uploads/rods/spin_10041_S78ML.png,https://potryasovgame.ru/page110667676.html
Inspiration S68L,Спиннинговые,Inspiration,Спиннинг,L,3,12,"2,1",5,5,Быстрый,50%,,,,"12,1",14,808,,spin_10041_S68L,/uploads/rods/spin_10041_S68L.png,https://potryasovgame.ru/page110667676.html
Inspiration S68UL,Спиннинговые,Inspiration,Спиннинг,UL,1,4,"2,1",5,5,Быстрый,100%,,,,"4,5",14,808,,spin_10041_S68UL,/uploads/rods/spin_10041_S68UL.png,https://potryasovgame.ru/page110667676.html
Inspiration S60UL,Спиннинговые,Inspiration,Спиннинг,UL,1,4,"1,8",5,5,Быстрый,100%,,,,"4,5",14,799,,spin_10041_S60UL,/uploads/rods/spin_10041_S60UL.png,https://potryasovgame.ru/page110667676.html
Karelia SPF78M,Спиннинговые,Karelia,Спиннинг,M,5,20,"2,4",3,5,Быстрый,,,,,16,12,749,,spin_10104_SPF78M,/uploads/rods/spin_10104_SPF78M.png,https://potryasovgame.ru/page110667676.html
Karelia SPM68ML,Спиннинговые,Karelia,Спиннинг,ML,4,16,"2,1",3,5,Средний,25%,,,,12,12,746,,spin_10104_SPM68ML,/uploads/rods/spin_10104_SPM68ML.png,https://potryasovgame.ru/page110667676.html
Karelia SPM66L,Спиннинговые,Karelia,Спиннинг,L,2,10,2,4,5,Средний,50%,,,,"10,2",12,740,,spin_10104_SPM66L,/uploads/rods/spin_10104_SPM66L.png,https://potryasovgame.ru/page110667676.html
Lait SSL78ML,Спиннинговые,Lait,Спиннинг,ML,3,15,"2,4",2,4,Медленный,25%,,,,"11,5",9,559,,spin_10120_SSL78ML,/uploads/rods/spin_10120_SSL78ML.png,https://potryasovgame.ru/page110667676.html
Linear S98H,Спиннинговые,Linear,Спиннинг,H,12,45,3,4,7,Быстрый,,,,,"15,3",10,544,,spin_10032_S98H,/uploads/rods/spin_10032_S98H.png,https://potryasovgame.ru/page110667676.html
Lait SSL70L,Спиннинговые,Lait,Спиннинг,L,2,12,"2,1",2,4,Медленный,50%,,,,"7,5",9,539,,spin_10120_SSL70L,/uploads/rods/spin_10120_SSL70L.png,https://potryasovgame.ru/page110667676.html
Lait SSL60UL,Спиннинговые,Lait,Спиннинг,UL,1,7,"1,8",2,4,Медленный,100%,,,,4,9,519,,spin_10120_SSL60UL,/uploads/rods/spin_10120_SSL60UL.png,https://potryasovgame.ru/page110667676.html
Linear S88H,Спиннинговые,Linear,Спиннинг,H,12,45,"2,7",4,7,Быстрый,,,,,"15,3",10,508,,spin_10032_S88H,/uploads/rods/spin_10032_S88H.png,https://potryasovgame.ru/page110667676.html
Linear S78H,Спиннинговые,Linear,Спиннинг,H,12,45,"2,4",4,7,Быстрый,,,,,"15,3",10,504,,spin_10032_S78H,/uploads/rods/spin_10032_S78H.png,https://potryasovgame.ru/page110667676.html
Linear S78MH,Спиннинговые,Linear,Спиннинг,MH,10,30,"2,4",6,8,Быстрый,,,,,"13,5",10,498,,spin_10032_S78MH,/uploads/rods/spin_10032_S78MH.png,https://potryasovgame.ru/page110667676.html
Belmor SPXF88XH,Спиннинговые,Belmor,Спиннинг,XH,20,60,"2,7",4,9,Сверх,,,,,16,10,498,,spin_10103_SPXF88XH,/uploads/rods/spin_10103_SPXF88XH.png,https://potryasovgame.ru/page110667676.html
Fortuna S68MH,Спиннинговые,Fortuna,Спиннинг,MH,7,28,"2,1",4,6,Быстрый,,Джиггинг +1,,,"14,5",13,459,,spin_10034_S68MH,/uploads/rods/spin_10034_S68MH.png,https://potryasovgame.ru/page110667676.html
Belmor SPF88H,Спиннинговые,Belmor,Спиннинг,H,12,48,"2,7",4,8,Быстрый,,,,,14,10,449,,spin_10103_SPF88H,/uploads/rods/spin_10103_SPF88H.png,https://potryasovgame.ru/page110667676.html
Heavy S80XH,Спиннинговые,Heavy,Спиннинг,XH,40,120,"2,4",0,9,Быстрый,,,,,"15,4",7,448,,spin_10004_S80XH,/uploads/rods/spin_10004_S80XH.png,https://potryasovgame.ru/page110667676.html
Linear S68ML,Спиннинговые,Linear,Спиннинг,ML,3,15,"2,1",5,6,Средний,25%,,,,11,10,445,,spin_10032_S68ML,/uploads/rods/spin_10032_S68ML.png,https://potryasovgame.ru/page110667676.html
Linear S60L,Спиннинговые,Linear,Спиннинг,L,2,10,"1,8",6,6,Средний,50%,,,,7,10,439,,spin_10032_S60L,/uploads/rods/spin_10032_S60L.png,https://potryasovgame.ru/page110667676.html
Fortuna S66MH,Спиннинговые,Fortuna,Спиннинг,MH,7,21,2,6,8,Сверх,,Джиггинг +1,,,"13,5",13,419,,spin_10034_S66MH,/uploads/rods/spin_10034_S66MH.png,https://potryasovgame.ru/page110667676.html
Fortuna S60H,Спиннинговые,Fortuna,Спиннинг,H,12,28,"1,8",6,8,Сверх,,Джиггинг +1,,,14,13,419,,spin_10034_S60H,/uploads/rods/spin_10034_S60H.png,https://potryasovgame.ru/page110667676.html
Belmor SPF78MH,Спиннинговые,Belmor,Спиннинг,MH,7,28,"2,4",4,7,Быстрый,,,,,13,10,419,,spin_10103_SPF78MH,/uploads/rods/spin_10103_SPF78MH.png,https://potryasovgame.ru/page110667676.html
Belmor SPF78M,Спиннинговые,Belmor,Спиннинг,M,5,20,"2,4",4,7,Быстрый,,,,,12,10,398,,spin_10103_SPF78M,/uploads/rods/spin_10103_SPF78M.png,https://potryasovgame.ru/page110667676.html
Comfort SF98XH,Спиннинговые,Comfort,Спиннинг,XH,40,100,3,2,10,Быстрый,,,,,13,6,397,,spin_10119_SF98XH,/uploads/rods/spin_10119_SF98XH.png,https://potryasovgame.ru/page110667676.html
Fortuna S60MH,Спиннинговые,Fortuna,Спиннинг,MH,7,21,"1,8",6,8,Сверх,,Джиггинг +1,,,"13,5",13,389,,spin_10034_S60MH,/uploads/rods/spin_10034_S60MH.png,https://potryasovgame.ru/page110667676.html
Heavy S70XH,Спиннинговые,Heavy,Спиннинг,XH,25,80,"2,1",0,10,Сверх,,,,,"13,1",7,388,,spin_10004_S70XH,/uploads/rods/spin_10004_S70XH.png,https://potryasovgame.ru/page110667676.html
Comfort SF88XH,Спиннинговые,Comfort,Спиннинг,XH,40,100,"2,7",2,10,Быстрый,,,,,13,6,387,,spin_10119_SF88XH,/uploads/rods/spin_10119_SF88XH.png,https://potryasovgame.ru/page110667676.html
Comfort SF70XH,Спиннинговые,Comfort,Спиннинг,XH,40,100,"2,1",2,10,Быстрый,,,,,13,6,370,,spin_10119_SF70XH,/uploads/rods/spin_10119_SF70XH.png,https://potryasovgame.ru/page110667676.html
Premium Stick S90MH,Спиннинговые,Premium,Спиннинг,MH,7,21,"2,7",4,7,Сверх,,,,,12,10,348,,spin_10005_S90MH,/uploads/rods/spin_10005_S90MH.png,https://potryasovgame.ru/page110667676.html
Premium Stick S80H,Спиннинговые,Premium,Спиннинг,H,7,28,"2,4",4,7,Быстрый,,,,,"12,1",10,322,,spin_10005_S80H,/uploads/rods/spin_10005_S80H.png,https://potryasovgame.ru/page110667676.html
Premium Stick S70H,Спиннинговые,Premium,Спиннинг,H,7,28,"2,1",4,7,Быстрый,,,,,"12,1",10,315,,spin_10005_S70H,/uploads/rods/spin_10005_S70H.png,https://potryasovgame.ru/page110667676.html
Premium Stick S70MH,Спиннинговые,Premium,Спиннинг,MH,7,21,"2,1",4,7,Сверх,,,,,12,10,315,,spin_10005_S70MH,/uploads/rods/spin_10005_S70MH.png,https://potryasovgame.ru/page110667676.html
Premium Stick S66MH,Спиннинговые,Premium,Спиннинг,MH,7,21,2,4,7,Сверх,,,,,12,10,309,,spin_10005_S66MH,/uploads/rods/spin_10005_S66MH.png,https://potryasovgame.ru/page110667676.html
Premium Stick S60M,Спиннинговые,Premium,Спиннинг,M,5,15,"1,8",4,7,Быстрый,,,,,"11,7",10,299,,spin_10005_S60M,/uploads/rods/spin_10005_S60M.png,https://potryasovgame.ru/page110667676.html
Premium Stick S60H,Спиннинговые,Premium,Спиннинг,H,7,28,"1,8",4,7,Быстрый,,,,,"12,1",10,299,,spin_10005_S60H,/uploads/rods/spin_10005_S60H.png,https://potryasovgame.ru/page110667676.html
Premium Stick S60MH,Спиннинговые,Premium,Спиннинг,MH,7,21,"1,8",4,7,Сверх,,,,,12,10,299,,spin_10005_S60MH,/uploads/rods/spin_10005_S60MH.png,https://potryasovgame.ru/page110667676.html
Comfort SXF98H,Спиннинговые,Comfort,Спиннинг,H,20,50,3,2,10,Сверх,,,,,11,6,227,,spin_10119_SXF98H,/uploads/rods/spin_10119_SXF98H.png,https://potryasovgame.ru/page110667676.html
Comfort SF88MH,Спиннинговые,Comfort,Спиннинг,MH,10,30,"2,7",4,8,Быстрый,,,,,10,6,217,,spin_10119_SF88MH,/uploads/rods/spin_10119_SF88MH.png,https://potryasovgame.ru/page110667676.html
Comfort SXF88H,Спиннинговые,Comfort,Спиннинг,H,20,50,"2,7",2,10,Сверх,,,,,11,6,217,,spin_10119_SXF88H,/uploads/rods/spin_10119_SXF88H.png,https://potryasovgame.ru/page110667676.html
Heavy S70H,Спиннинговые,Heavy,Спиннинг,H,18,40,"2,1",2,8,Сверх,,,,,11,7,210,,spin_10004_S70H,/uploads/rods/spin_10004_S70H.png,https://potryasovgame.ru/page110667676.html
Comfort SF78M,Спиннинговые,Comfort,Спиннинг,M,5,25,"2,4",4,7,Быстрый,,,,,9,6,204,,spin_10119_SF78M,/uploads/rods/spin_10119_SF78M.png,https://potryasovgame.ru/page110667676.html
Comfort SXF78H,Спиннинговые,Comfort,Спиннинг,H,20,50,"2,4",2,10,Сверх,,,,,11,6,204,,spin_10119_SXF78H,/uploads/rods/spin_10119_SXF78H.png,https://potryasovgame.ru/page110667676.html
Comfort SF70MH,Спиннинговые,Comfort,Спиннинг,MH,10,30,"2,1",4,8,Быстрый,,,,,10,6,196,,spin_10119_SF70MH,/uploads/rods/spin_10119_SF70MH.png,https://potryasovgame.ru/page110667676.html
Comfort SXF68H,Спиннинговые,Comfort,Спиннинг,H,20,50,2,2,10,Сверх,,,,,11,6,190,,spin_10119_SXF68H,/uploads/rods/spin_10119_SXF68H.png,https://potryasovgame.ru/page110667676.html
Comfort SF60MH,Спиннинговые,Comfort,Спиннинг,MH,10,30,"1,8",4,8,Быстрый,,,,,10,6,182,,spin_10119_SF60MH,/uploads/rods/spin_10119_SF60MH.png,https://potryasovgame.ru/page110667676.html
Arrow S70M,Спиннинговые,Arrow,Спиннинг,M,4,16,"2,1",4,7,Средний,,,,,7,5,174,,spin_10003_S70M,/uploads/rods/spin_10003_S70M.png,https://potryasovgame.ru/page110667676.html
Arrow S60UL,Спиннинговые,Arrow,Спиннинг,UL,1,7,"1,8",4,5,Быстрый,100%,,,,3,5,170,,spin_10003_S60UL,/uploads/rods/spin_10003_S60UL.png,https://potryasovgame.ru/page110667676.html
Arrow S66M,Спиннинговые,Arrow,Спиннинг,M,6,20,2,3,6,Быстрый,,,,,7,5,169,,spin_10003_S66M,/uploads/rods/spin_10003_S66M.png,https://potryasovgame.ru/page110667676.html
Arrow S60L,Спиннинговые,Arrow,Спиннинг,L,3,"10,5","1,8",3,6,Средний,50%,,,,5,5,162,,spin_10003_S60L,/uploads/rods/spin_10003_S60L.png,https://potryasovgame.ru/page110667676.html
Dynamic S70MH,Спиннинговые,Dynamic,Спиннинг,MH,10,30,"2,1",3,7,Быстрый,,,,,"5,9",3,103,,spin_10002_S70MH,/uploads/rods/spin_10002_S70MH.png,https://potryasovgame.ru/page110667676.html
Dynamic S66H,Спиннинговые,Dynamic,Спиннинг,H,15,45,2,2,8,Сверх,,,,,"6,5",3,91,,spin_10002_S66H,/uploads/rods/spin_10002_S66H.png,https://potryasovgame.ru/page110667676.html
Dynamic S60MH,Спиннинговые,Dynamic,Спиннинг,MH,10,30,"1,8",3,7,Быстрый,,,,,"5,9",3,86,,spin_10002_S60MH,/uploads/rods/spin_10002_S60MH.png,https://potryasovgame.ru/page110667676.html
Corona S70H,Спиннинговые,Corona,Спиннинг,H,15,60,"2,1",3,9,Быстрый,,,,,"5,4",1,"35,5",,spin_10001_S70H,/uploads/rods/spin_10001_S70H.png,https://potryasovgame.ru/page110667676.html
Corona S66H,Спиннинговые,Corona,Спиннинг,H,15,60,2,3,9,Быстрый,,,,,"5,4",1,34,,spin_10001_S66H,/uploads/rods/spin_10001_S66H.png,https://potryasovgame.ru/page110667676.html
Corona S66MH,Спиннинговые,Corona,Спиннинг,MH,10,30,2,3,7,Сверх,,,,,"4,2",1,"23,5",,spin_10001_S66MH,/uploads/rods/spin_10001_S66MH.png,https://potryasovgame.ru/page110667676.html
Corona S60MH,Спиннинговые,Corona,Спиннинг,MH,10,30,"1,8",3,7,Сверх,,,,,"4,2",1,"19,5",,spin_10001_S60MH,/uploads/rods/spin_10001_S60MH.png,https://potryasovgame.ru/page110667676.html
Corona S60L,Спиннинговые,Corona,Спиннинг,L,2,10,"1,8",2,3,Средний,50%,,,,"3,9",1,"18,5",,spin_10001_S60L,/uploads/rods/spin_10001_S60L.png,https://potryasovgame.ru/page110667676.html
Ultima CST-M100HH,Спиннинговые,Ultima,Кастинг,XH,15,70,3,8,10,Средний,,Искуств. +2-3,10%,,142,32,24861,,cast_10163_M100HH,/uploads/rods/cast_10163_M100HH.png,https://potryasovgame.ru/page110667676.html
Ultima CST-M88HH,Спиннинговые,Ultima,Кастинг,XH,12,50,"2,7",8,9,Средний,,Искуств. +2-3,10%,,136,32,22958,,cast_10163_M88HH,/uploads/rods/cast_10163_M88HH.png,https://potryasovgame.ru/page110667676.html
Ultima CST-M87H,Спиннинговые,Ultima,Кастинг,H,7,30,"2,6",9,9,Средний,,Искуств. +2-3,10%,,125,32,21802,,cast_10163_M87H,/uploads/rods/cast_10163_M87H.png,https://potryasovgame.ru/page110667676.html
Ultima CST-M77M,Спиннинговые,Ultima,Кастинг,M,5,25,"2,4",9,8,Средний,,Искуств. +2-3,10%,,106,32,19197,,cast_10163_M77M,/uploads/rods/cast_10163_M77M.png,https://potryasovgame.ru/page110667676.html
Ultima CST-M61L,Спиннинговые,Ultima,Кастинг,L,2,8,"1,8",9,7,Средний,50%,Искуств. +2-3,10%,,36,32,18973,,cast_10163_M61L,/uploads/rods/cast_10163_M61L.png,https://potryasovgame.ru/page110667676.html
Ultima CST-M75ML,Спиннинговые,Ultima,Кастинг,ML,3,18,"2,25",9,8,Средний,25%,Искуств. +2-3,10%,,62,32,18808,,cast_10163_M75ML,/uploads/rods/cast_10163_M75ML.png,https://potryasovgame.ru/page110667676.html
Ultima CST-M68ML,Спиннинговые,Ultima,Кастинг,ML,3,12,2,9,8,Средний,25%,Искуств. +2-3,10%,,60,32,17773,,cast_10163_M68ML,/uploads/rods/cast_10163_M68ML.png,https://potryasovgame.ru/page110667676.html
Ultima CST-M60UL,Спиннинговые,Ultima,Кастинг,UL,1,5,"1,8",10,7,Средний,100%,Искуств. +2-3,10%,,14,32,17773,,cast_10163_M60UL,/uploads/rods/cast_10163_M60UL.png,https://potryasovgame.ru/page110667676.html
Trout Master CST-M88MH,Спиннинговые,Trout,Кастинг,MH,7,35,"2,7",7,8,Средний,,Воблер +2,,10%,100,30,16220,,cast_10162_M88MH,/uploads/rods/cast_10162_M88MH.png,https://potryasovgame.ru/page110667676.html
Trout Master CST-M82M,Спиннинговые,Trout,Кастинг,M,5,20,"2,5",7,7,Средний,,Воблер +2,,10%,80,30,14442,,cast_10162_M82M,/uploads/rods/cast_10162_M82M.png,https://potryasovgame.ru/page110667676.html
Trout Master CST-M71ML,Спиннинговые,Trout,Кастинг,ML,3,18,"2,15",8,7,Средний,25%,Воблер +2,,10%,50,30,13937,,cast_10162_M71ML,/uploads/rods/cast_10162_M71ML.png,https://potryasovgame.ru/page110667676.html
Trout Master CST-M68L,Спиннинговые,Trout,Кастинг,L,2,10,2,8,7,Средний,50%,Воблер +2,,10%,25,30,13310,,cast_10162_M68L,/uploads/rods/cast_10162_M68L.png,https://potryasovgame.ru/page110667676.html
Aquilon CST-M70UL,Спиннинговые,Aquilon,Кастинг,UL,"0,5",5,"2,1",6,8,Средний,100%,Воблер +2,,10%,13,30,12805,,cast_10161_M70UL,/uploads/rods/cast_10161_M70UL.png,https://potryasovgame.ru/page110667676.html
Trout Master CST-M60L,Спиннинговые,Trout,Кастинг,L,1,8,"1,8",8,6,Средний,50%,Воблер +2,,10%,21,30,12560,,cast_10162_M60L,/uploads/rods/cast_10162_M60L.png,https://potryasovgame.ru/page110667676.html
Aquilon CST-M71L,Спиннинговые,Aquilon,Кастинг,L,1,7,"2,1",8,6,Средний,50%,Воблер +2,,10%,20,30,11563,,cast_10161_M71L,/uploads/rods/cast_10161_M71L.png,https://potryasovgame.ru/page110667676.html
Aquilon CST-M68ULL,Спиннинговые,Aquilon,Кастинг,UL,"0,5",4,2,6,8,Средний,100%,Воблер +2,,10%,12,30,11563,,cast_10161_M68ULL,/uploads/rods/cast_10161_M68ULL.png,https://potryasovgame.ru/page110667676.html
Vexillar CST-F66L,Спиннинговые,Vexillar,Кастинг,L,"1,75","8,75",2,9,7,Быстрый,50%,Джиговые +3,,,"17,1",28,9118,,cast_10160_F66L,/uploads/rods/cast_10160_F66L.png,https://potryasovgame.ru/page110667676.html
Vexillar CST-F66MH,Спиннинговые,Vexillar,Кастинг,MH,7,28,2,8,9,Быстрый,,Джиговые +3,,,40,28,9118,,cast_10160_F66MH,/uploads/rods/cast_10160_F66MH.png,https://potryasovgame.ru/page110667676.html
Vexillar CST-F70H,Спиннинговые,Vexillar,Кастинг,H,12,42,"2,1",8,9,Быстрый,,Джиговые +3,,,42,28,9118,,cast_10160_F70H,/uploads/rods/cast_10160_F70H.png,https://potryasovgame.ru/page110667676.html
Vexillar CST-F70UL,Спиннинговые,Vexillar,Кастинг,UL,1,4,"2,1",9,7,Быстрый,100%,Джиговые +3,,,10,28,9118,,cast_10160_F70UL,/uploads/rods/cast_10160_F70UL.png,https://potryasovgame.ru/page110667676.html
Barracuda CST CSSL88MH,Спиннинговые,Barracuda,Кастинг,MH,7,45,"2,7",1,2,Медленный,,,,,"96,6",26,8299,,cast_10057_CSSL88MH,/uploads/rods/cast_10057_CSSL88MH.png,https://potryasovgame.ru/page110667676.html
Barracuda CST CSM88H,Спиннинговые,Barracuda,Кастинг,H,15,80,"2,7",1,3,Средний,,,,,95,26,7998,,cast_10057_CSM88H,/uploads/rods/cast_10057_CSM88H.png,https://potryasovgame.ru/page110667676.html
Black Edition CST CSF78MH,Спиннинговые,Black,Кастинг,MH,7,21,"1,8",3,7,Быстрый,,,7%,,45,28,7789,,cast_10059_CSF78MH,/uploads/rods/cast_10059_CSF78MH.png,https://potryasovgame.ru/page110667676.html
Black Edition CST CSF68XH,Спиннинговые,Black,Кастинг,XH,14,42,"2,1",3,8,Быстрый,,Воблер +2,,,"51,3",28,7598,,cast_10059_CSF68XH,/uploads/rods/cast_10059_CSF68XH.png,https://potryasovgame.ru/page110667676.html
Rocket CM88XH,Спиннинговые,Rocket,Кастинг,XH,"17,5",80,"2,7",1,4,Средний,,,,10%,"89,9",26,7299,,cast_10150_CM88XH,/uploads/rods/cast_10150_CM88XH.png,https://potryasovgame.ru/page110667676.html
Black Edition CST CSF68M,Спиннинговые,Black,Кастинг,M,5,15,"2,1",3,6,Быстрый,,,7%,,"42,7",28,7276,,cast_10059_CSF68M,/uploads/rods/cast_10059_CSF68M.png,https://potryasovgame.ru/page110667676.html
Black Edition CST CSXF68M,Спиннинговые,Black,Кастинг,M,7,16,"2,1",3,7,Сверх,,,7%,,"40,7",28,7198,,cast_10059_CSXF68M,/uploads/rods/cast_10059_CSXF68M.png,https://potryasovgame.ru/page110667676.html
Black Edition CST CSM68MH,Спиннинговые,Black,Кастинг,MH,7,28,"2,1",3,7,Средний,,,7%,,"50,8",28,7175,,cast_10059_CSM68MH,/uploads/rods/cast_10059_CSM68MH.png,https://potryasovgame.ru/page110667676.html
Rocket CM88H,Спиннинговые,Rocket,Кастинг,H,"10,5","45,5","2,7",2,3,Средний,,,,10%,"86,2",26,6999,,cast_10150_CM88H,/uploads/rods/cast_10150_CM88H.png,https://potryasovgame.ru/page110667676.html
Black Edition CST CSXF60H,Спиннинговые,Black,Кастинг,H,12,28,"1,8",3,8,Сверх,,Воблер +2,,,"43,7",28,6991,,cast_10059_CSXF60H,/uploads/rods/cast_10059_CSXF60H.png,https://potryasovgame.ru/page110667676.html
Black Edition CST CSF60MH,Спиннинговые,Black,Кастинг,MH,7,21,"2,4",3,7,Быстрый,,,7%,,45,28,6961,,cast_10059_CSF60MH,/uploads/rods/cast_10059_CSF60MH.png,https://potryasovgame.ru/page110667676.html
Rocket CM88MH,Спиннинговые,Rocket,Кастинг,MH,7,35,"2,7",2,3,Средний,,,,10%,84,26,6799,,cast_10150_CM88MH,/uploads/rods/cast_10150_CM88MH.png,https://potryasovgame.ru/page110667676.html
Rocket CM77M,Спиннинговые,Rocket,Кастинг,M,5,20,"2,4",2,3,Средний,,,,10%,"78,6",26,6298,,cast_10150_CM77M,/uploads/rods/cast_10150_CM77M.png,https://potryasovgame.ru/page110667676.html
Armada CST CSF68MH,Спиннинговые,Armada,Кастинг,MH,7,21,"1,8",7,8,Быстрый,,Джиговые +2,,,"22,8",28,6239,,cast_10058_CSF68MH,/uploads/rods/cast_10058_CSF68MH.png,https://potryasovgame.ru/page110667676.html
Armada CST CSF68XH,Спиннинговые,Armada,Кастинг,XH,14,48,"2,1",7,10,Быстрый,,Джиговые +2,,,"25,7",28,6239,,cast_10058_CSF68XH,/uploads/rods/cast_10058_CSF68XH.png,https://potryasovgame.ru/page110667676.html
Armada CST CSXF68M,Спиннинговые,Armada,Кастинг,M,4,10,"2,1",8,7,Сверх,,Джиговые +2,,,"13,8",28,6227,,cast_10058_CSXF68M,/uploads/rods/cast_10058_CSXF68M.png,https://potryasovgame.ru/page110667676.html
Armada CST CSF60M,Спиннинговые,Armada,Кастинг,M,5,14,"1,8",8,8,Быстрый,,Джиговые +2,,,"16,8",28,6133,,cast_10058_CSF60M,/uploads/rods/cast_10058_CSF60M.png,https://potryasovgame.ru/page110667676.html
Armada CST CSXF60H,Спиннинговые,Armada,Кастинг,H,12,28,"1,8",7,9,Сверх,,Джиговые +2,,,"21,9",28,6098,,cast_10058_CSXF60H,/uploads/rods/cast_10058_CSXF60H.png,https://potryasovgame.ru/page110667676.html
Armada CST CSXF60UL,Спиннинговые,Armada,Кастинг,UL,2,4,"1,8",8,7,Сверх,100%,Джиговые +2,,,"5,1",28,6098,,cast_10058_CSXF60UL,/uploads/rods/cast_10058_CSXF60UL.png,https://potryasovgame.ru/page110667676.html
Barracuda CST CSM68M,Спиннинговые,Barracuda,Кастинг,M,5,25,"2,1",1,3,Средний,,,,,"78,8",26,5999,,cast_10057_CSM68M,/uploads/rods/cast_10057_CSM68M.png,https://potryasovgame.ru/page110667676.html
Armada CST CSF60MH,Спиннинговые,Armada,Кастинг,MH,7,21,"2,1",7,8,Быстрый,,Джиговые +2,,,"22,8",28,5992,,cast_10058_CSF60MH,/uploads/rods/cast_10058_CSF60MH.png,https://potryasovgame.ru/page110667676.html
Legend CF77ML,Спиннинговые,Legend,Кастинг,ML,"3,5",12,"2,4",5,6,Быстрый,25%,Воблер +1,5%,,29,28,5441,,cast_10151_CF77ML,/uploads/rods/cast_10151_CF77ML.png,https://potryasovgame.ru/page110667676.html
Legend CF70M,Спиннинговые,Legend,Кастинг,M,5,"17,5","2,1",5,6,Быстрый,,Воблер +1,5%,,"39,5",28,5383,,cast_10151_CF70M,/uploads/rods/cast_10151_CF70M.png,https://potryasovgame.ru/page110667676.html
Legend CF70MH,Спиннинговые,Legend,Кастинг,MH,"10,5",28,"2,1",5,8,Быстрый,,Воблер +1,5%,,"41,5",28,5383,,cast_10151_CF70MH,/uploads/rods/cast_10151_CF70MH.png,https://potryasovgame.ru/page110667676.html
Legend CF77H,Спиннинговые,Legend,Кастинг,H,14,42,"2,4",5,9,Быстрый,,Воблер +1,5%,,42,28,5383,,cast_10151_CF77H,/uploads/rods/cast_10151_CF77H.png,https://potryasovgame.ru/page110667676.html
Legend CF66M,Спиннинговые,Legend,Кастинг,M,5,"17,5","1,8",5,6,Быстрый,,Воблер +1,5%,,"39,5",28,5313,,cast_10151_CF66M,/uploads/rods/cast_10151_CF66M.png,https://potryasovgame.ru/page110667676.html
Legend CF68ML,Спиннинговые,Legend,Кастинг,ML,"3,5",12,2,5,6,Быстрый,25%,Воблер +1,5%,,29,28,5313,,cast_10151_CF68ML,/uploads/rods/cast_10151_CF68ML.png,https://potryasovgame.ru/page110667676.html
Legend CF66UL,Спиннинговые,Legend,Кастинг,UL,1,5,"1,8",6,5,Быстрый,100%,Воблер +1,5%,,"10,1",28,5313,,cast_10151_CF66UL,/uploads/rods/cast_10151_CF66UL.png,https://potryasovgame.ru/page110667676.html
Legend CF66L,Спиннинговые,Legend,Кастинг,L,2,8,"1,8",6,6,Быстрый,50%,Воблер +1,5%,,16,28,5081,,cast_10151_CF66L,/uploads/rods/cast_10151_CF66L.png,https://potryasovgame.ru/page110667676.html
Advent CST-F100HHH,Спиннинговые,Advent,Кастинг,XH,21,70,3,6,10,Быстрый,,,,,57,26,4995,,cast_10159_F100HHH,/uploads/rods/cast_10159_F100HHH.png,https://potryasovgame.ru/page110667676.html
Advent CST-F96H,Спиннинговые,Advent,Кастинг,H,8,42,"2,9",7,8,Быстрый,,,,,45,26,4929,,cast_10159_F96H,/uploads/rods/cast_10159_F96H.png,https://potryasovgame.ru/page110667676.html
